code,name,avg_roe,avg_margin,avg_net_margin,ocf_ni,years,score
002648,卫星化学,21.9,22.8,13.1,1.66,5,44.5
603505,金石资源,19.1,33.1,16.7,1.45,5,44.4
301419,阿莱德,12.5,38.6,15.7,1.54,5,44.3
600660,福耀玻璃,19.6,35.8,17.3,1.36,5,44.2
000885,城发环境,15.9,38.8,18.6,1.38,5,44.2
002223,鱼跃医疗,17.1,49.7,23.2,1.03,5,44.1
600461,洪城环境,13.7,30.0,14.9,1.68,5,44.1
301050,雷电微力,12.3,43.4,29.1,1.16,5,44.1
603267,鸿远电子,13.2,44.2,21.4,1.27,5,44.1
300613,富瀚微,13.7,38.8,14.8,1.49,5,44.0
603288,海天味业,23.8,37.3,24.4,1.05,5,43.8
603833,欧派家居,15.9,33.9,12.7,1.56,5,43.8
001233,海安集团,29.7,41.7,23.5,0.83,5,43.8
603283,赛腾股份,21.2,42.8,12.8,1.24,5,43.7
603456,九洲药业,12.5,35.3,15.2,1.56,5,43.6
301578,辰奕智能,20.9,23.0,8.8,1.71,5,43.6
601958,金钼股份,14.4,37.3,20.9,1.35,5,43.5
603707,健友股份,12.6,48.0,17.8,1.24,5,43.5
605337,李子园,13.9,36.5,16.3,1.47,5,43.5
600598,北大荒,14.0,37.4,21.1,1.35,5,43.4
002749,国光股份,15.6,43.0,14.9,1.32,5,43.4
601100,恒立液压,21.5,42.2,27.5,0.93,5,43.4
601900,南方传媒,12.7,32.3,12.4,1.65,5,43.3
002415,海康威视,20.2,44.2,17.1,1.12,5,43.3
301512,智信精密,12.9,42.6,12.4,1.44,5,43.3
603262,技源集团,23.5,41.2,15.3,1.13,5,43.3
300693,盛弘股份,24.0,41.2,13.8,1.14,5,43.2
600436,片仔癀,22.0,44.5,27.9,0.85,5,43.2
002508,老板电器,15.0,50.6,14.0,1.19,5,43.2
300882,万胜智能,13.4,31.6,14.3,1.6,5,43.2
001389,广合科技,22.7,29.3,13.7,1.4,5,43.0
001395,亚联机械,21.1,32.7,18.3,1.29,5,43.0
603816,顾家家居,19.8,31.6,9.4,1.51,5,42.9
002258,利尔化学,14.5,24.5,11.6,1.75,5,42.9
601126,四方股份,15.1,33.0,10.5,1.59,5,42.9
301162,国能日新,12.5,65.1,18.4,0.85,5,42.8
301609,山大电力,20.2,43.3,18.2,1.08,5,42.8
600702,舍得酒业,18.8,71.5,18.0,0.56,5,42.7
300441,鲍斯股份,17.6,32.9,17.1,1.38,5,42.7
601872,招商轮船,14.1,24.3,18.6,1.61,5,42.7
600062,华润双鹤,12.8,56.3,13.3,1.11,5,42.6
600971,恒源煤电,12.3,40.1,17.6,1.35,5,42.5
301363,美好医疗,14.9,42.3,23.9,1.11,5,42.5
002833,弘亚数控,20.2,32.2,20.8,1.23,5,42.4
600179,安通控股,14.7,20.1,15.2,1.73,5,42.4
600873,梅花生物,25.3,20.6,12.4,1.49,5,42.3
301586,佳力奇,17.3,33.9,20.2,1.27,5,42.3
301491,汉桑科技,25.4,29.1,13.3,1.29,5,42.3
300360,炬华科技,15.7,42.7,32.1,0.91,5,42.3
002884,凌霄泵业,20.0,35.5,27.0,1.03,5,42.2
605111,新洁能,15.9,35.2,23.5,1.21,5,42.1
603699,XD纽威股,22.4,33.4,14.8,1.25,5,42.1
002709,天赐材料,25.7,28.0,14.2,1.28,5,42.1
300873,海晨股份,12.3,25.5,18.3,1.6,5,42.0
002430,杭氧股份,13.6,23.0,8.9,1.8,5,42.0
301658,首航新能,26.7,33.0,10.8,1.21,5,42.0
300482,万孚生物,14.4,58.8,14.5,0.95,5,41.9
002605,姚记科技,17.4,45.2,16.0,1.11,5,41.9
003006,百亚股份,17.7,49.5,10.6,1.11,5,41.8
003020,立方制药,12.4,52.5,9.7,1.21,5,41.7
600018,上港集团,13.0,37.5,42.1,0.84,5,41.7
301592,六九一二,29.1,52.6,21.1,0.53,5,41.7
300286,安科瑞,14.9,45.9,17.2,1.12,5,41.7
